Order_ID,Order_Date,Region,Customer_Type,Warehouse_Location,Order_Quantity,Order_Value,Stock_Availability,Fulfillment_Rate,Delivery_Time (Days),Transportation_Cost,Delayed_Delivery,Shipment_Date,Product_Category,Product_Weight (kg),Order_Priority,Payment_Method,Warehouse_Capacity_Utilization (%),Stock_Replenishment_Time (Days),Carrier_Name,Mode_of_Transport,Profit_Margin (%),Operational_Cost (₹),Discount_Offered (%),Lost_Sales (₹),Order_Quarter,Lead_Time (Days),On_Time_Delivery (%),Customer_Rating (1-5),Return_Status,Reason_for_Return,Risk_Category
10001,5/3/2024 3:02,South,E-commerce,Bangalore,14,5769.498274,837,0.87,7,436.76,0,5/8/2024 3:02,Automobile Parts,40.99,High,Credit Card,86.38,10,India Post,Ship,28.11,838.06,18.66,1669.37,2024Q2,5,80.37,4,Yes,Late Delivery,High
10002,12/24/2024 17:18,South,E-commerce,Delhi,495,192730.13,308,0.87,5,16915.86,1,1/1/2025 17:18,Electronics,1.55,Low,Net Banking,79.19,12,Blue Dart,Road,18.58,12752.42,1.01,237.27,2024Q4,8,89.34,2,No,N/A,Low
10003,3/14/2024 11:33,West,Corporate,Kolkata,295,66199.6772,335,0.87,3,5704.02,1,3/23/2024 11:33,Furniture,33.41,Medium,Credit Card,71.06,11,Blue Dart,Air,23.75,11167.03,0.43,4343.6,2024Q1,9,98.11,2,No,N/A,High
10004,6/21/2024 20:16,North,Retail,Bangalore,153,62513.61955,360,0.85,5,3573.44,0,6/24/2024 20:16,Automobile Parts,2.9,Low,Credit Card,56.45,13,Delhivery,Road,19.75,11816.1,19.81,528.71,2024Q2,3,83.44,4,No,N/A,Low
10005,10/25/2024 4:45,West,E-commerce,Kolkata,217,24559.56492,946,0.72,10,1753.81,0,11/3/2024 4:45,Apparel,42.12,Low,UPI,53.09,7,Blue Dart,Rail,15.21,3715.32,19.93,698.7,2024Q4,9,91.88,5,No,N/A,Medium
10006,4/20/2024 22:25,West,Wholesale,Mumbai,116,23030.47011,491,0.94,9,1354.86,1,4/24/2024 22:25,Automobile Parts,22.19,High,Net Banking,51.18,3,DHL,Road,17.69,3234.2,0.7,3370.86,2024Q2,4,89.23,2,No,N/A,Medium
10007,1/13/2024 19:30,South,Retail,Kolkata,339,52014.50509,918,0.87,12,2207.71,1,1/20/2024 19:30,Electronics,27.81,Medium,Cash,82.11,9,India Post,Road,26.01,8647.03,9.46,3634.55,2024Q1,7,92.37,4,No,N/A,Low
10008,3/21/2023 5:06,Central,Corporate,Kolkata,350,84727.89304,59,0.76,7,7601.59,0,3/26/2023 5:06,Electronics,21.34,Medium,UPI,71.92,12,India Post,Ship,15.94,11616.13,16.15,2909.38,2023Q1,5,86.11,2,Yes,Damaged,Medium
10009,10/23/2024 15:57,South,Wholesale,Mumbai,406,52894.80928,318,0.92,7,4280.48,0,10/31/2024 15:57,Electronics,45.23,Low,Net Banking,73.5,14,Delhivery,Road,12.28,9374.38,0.81,3902.98,2024Q4,8,95.72,5,No,N/A,Low
10010,2/18/2024 17:34,Central,E-commerce,Bangalore,72,4851.816821,988,0.84,9,335.01,0,2/27/2024 17:34,Apparel,24.82,Medium,Net Banking,53.98,13,Delhivery,Air,21.71,963.24,14.85,4031.47,2024Q1,9,98.55,3,No,N/A,Low
10011,8/21/2023 5:40,Central,E-commerce,Chennai,481,40691.17697,300,0.87,10,3137.3,0,8/23/2023 5:40,Electronics,37.76,High,Cash,95.71,6,Blue Dart,Air,5.43,3246.08,6.65,2495.34,2023Q3,2,96.5,3,No,N/A,High
10012,4/13/2024 11:42,North,Corporate,Delhi,303,67079.85761,348,0.99,11,2542.26,1,4/15/2024 11:42,Automobile Parts,27.61,Low,Credit Card,89.57,4,Delhivery,Rail,24.3,9818.17,4.05,1161.77,2024Q2,2,89.91,4,No,N/A,High
10013,6/20/2023 21:50,North,Wholesale,Delhi,486,183191.1805,428,0.71,6,11599.28,0,6/23/2023 21:50,Groceries,45.01,High,Cash,51.12,9,Blue Dart,Air,8.92,21633.26,12.96,4993.92,2023Q2,3,84.71,2,Yes,Late Delivery,Low
10014,4/4/2023 19:32,East,Retail,Chennai,424,89542.77434,678,0.7,12,2066.34,0,4/8/2023 19:32,Apparel,9.99,High,Net Banking,55.4,8,Blue Dart,Rail,27.24,5916.79,19.41,1763.99,2023Q2,4,94.91,2,No,N/A,Low
10015,3/7/2024 2:35,East,E-commerce,Mumbai,411,155220.3212,995,0.87,12,9544.99,0,3/14/2024 2:35,Automobile Parts,47.18,Medium,Net Banking,88.41,11,FedEx,Air,28.5,29067.41,14.37,70.33,2024Q1,7,98.48,5,No,N/A,Low
